RANK,PLAYER,TEAM,LEAGUE,POS,CAT,AGE,BLURB,ETA,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP
784,Albert Pujols,LAA,AL, 1B,Batter,40.2,Keeps chugging along in the back nine of his career with a low batting average; low run totals; and serviceable enough power numbers.,,57,22,82,0.248,0.305,0.428,2,,,,,,,,,,,,,,,,,,,
785,Joey Wendle,TB,AL, 2B/3B,Batter,29.11,Likely a part time player with a little speed and not much else.,,53,5,49,0.268,0.312,0.401,11,,,,,,,,,,,,,,,,,,,
786,Ronald Guzman,TEX,AL, 1B,Batter,25.5,Todd Fraziersigning means Guzman is going to have to earn his at-bats this season. A 29.5% K% and 85.6 MPH average exit velocity is not going to get it done.,,41,13,44,0.24,0.315,0.42,1,,,,,,,,,,,,,,,,,,,
787,Bryce Ball,ATL,NL, 1B,Batter,21.9,Drafted 727th overall; Ball has double plus raw power and showed that off in his pro debut; slashing .337/..367/.547 with 4 homers and a 20/4 K/BB in 21 games at Full-A. He destroyed the Appy League too with 13 homers in 41 games. His power is worth the flier.,2022,,,,,,,,,,,,,,53,18,61,0.244,0.316,0.452,0,,,,,,
788,Corey Knebel,MIL,NL, SU,Reliever,28.4,Underwent Tommy John surgery in early April 2019 and is unlikely to be ready for the start of the season. He wont regain the closer role; but his strikeout upside is worth the flier.,,,,,,,,,3,3.47,1.18,60,0,40,,,,,,,,,,,,,
789,Cedric Mullins,BAL,AL, OF,Batter,25.6,Lost his starting job after an awful start to the season and didnt look much better at Triple-A. He improved in the 2nd half at Double-A; and underlying skills of plus speed with a good feel to hit and some pop were all still present; so Im expecting a bounceback.,,33,6,29,0.252,0.325,0.393,8,,,,,,,76,13,65,0.268,0.332,0.411,16,,,,,,
790,Dustin Fowler,OAK,AL, OF,Batter,25.3,In no mans land where is he is no longer a prospect but also isnt a major leaguer. Fowler still displays an above average power/speed combo with a good feel to hit; but will need a trade or injuries to get MLB at-bats.,,21,4,19,0.256,0.301,0.409,3,,,,,,,76,17,69,0.273,0.315,0.431,14,,,,,,
791,Jeremy Pena,HOU,AL, SS,Batter,22.6,Plus defense with above average speed and good walk rates; but below average power and a questionable hit tool caps his fantasy upside.,2022,,,,,,,,,,,,,,76,13,68,0.261,0.335,0.402,14,,,,,,
792,Niko Hulsizer,TB,AL, OF,Batter,23.2,Big time power with high fly ball rates and very high strikeout rates.,2021,,,,,,,,,,,,,,52,18,61,0.236,0.31,0.443,4,,,,,,
793,Logan Davidson,OAK,AL, SS,Batter,22.3,Drafted 29th overall; Davidson has a plus power/speed combo with a low batting average floor.,2022,,,,,,,,,,,,,,72,21,77,0.246,0.332,0.45,13,,,,,,
794,Elio Prado,BAL,AL, OF,Batter,18.4,Stock rose in his pro debut in the Dominican Summer League; slashing .300/.403/.396 with 3 homers; 12 steals and a 36/30 K/BB in 60 games. Advanced plate approach with an above average power/speed combo.,2025,,,,,,,,,,,,,,78,18,71,0.261,0.344,0.424,16,,,,,,
795,Alejandro Pie,TB,AL, SS,Batter,18.2,Signed for $1.4 million in 2018; Pie has a potentially plus power/speed combo and had a solid pro debut in the Dominican Summer League. At 64ù; 175 pounds; hes a high upside lottery ticket.,2024,,,,,,,,,,,,,,75,18,76,0.264,0.318,0.428,20,,,,,,
796,Nick Pratto,KC,AL, 1B,Batter,21.6,Raised FB% to 42.3% but his K% skyrocketed with it to 34.7%. Patience (10.4% BB%) and baserunning remained strong (17 steals); so you have to hope the down year was due to developmental growing pains.,2022,,,,,,,,,,,,,,76,20,75,0.259,0.34,0.435,10,,,,,,
797,Julio Pablo Martinez,TEX,AL, OF,Batter,24,Came on after a terrible first two months in full season ball; slashing .289/.364/.493 with 13 homers; 26 steals; and a 98/31 K/BB in final 82 games at High-A. Hes a bit old for the level and the strikeout rate is concerning; but the power/speed combo gives him enticing upside.,2021,,,,,,,,,,,,,,76,17,74,0.244,0.313,0.423,18,,,,,,
798,Will Benson,CLE,AL, OF,Batter,21.1,Value remains the same with another year of displaying at least a plus power/speed combo; low average; and high strikeout rate.,2022,,,,,,,,,,,,,,60,22,68,0.221,0.328,0.456,9,,,,,,
799,Brady McConnell,KC,AL, SS,Batter,21.1,Drafted 44th overall; McConnell has a plus power/speed combo but it comes with major hit tool risk (39.1% K% in 38 games at rookie ball).,2023,,,,,,,,,,,,,,62,18,66,0.238,0.295,0.446,9,,,,,,
800, Dauri Lorenzo,HOU,AL, SS,Batter,17.5,Signed for $1.8 million; Lorenzo is a switch hitter who makes hard contact with a line drive approach and has plus speed.,2025,,,,,,,,,,,,,,79,19,75,0.27,0.338,0.432,18,,,,,,
801,Emmanuel Rodriguez,MIN,NL, OF,Batter,17.1,Signed for $2.5 million; Rodriguez is 511ù; 200 plus pounds who should hit for plus power at peak and has an advanced feel at the dish.,2026,,,,,,,,,,,,,,76,25,84,0.261,0.341,0.473,7,,,,,,
802,Trejyn Fletcher,STL,NL, OF,Batter,18.11,Drafted 58th overall; Fletcher is a great athlete with a plus power/speed combo (4 homers and 7 steals in 43 game pro debut) and extreme strikeout issues (43% K%).,2024,,,,,,,,,,,,,,57,15,58,0.228,0.291,0.436,11,,,,,,
803,Antoine Kelly,MIL,NL, LHP,Pitcher,20.4,Drafted 65th overall; the 66ù; 205 pound Kelly throws a mid 90s fastball with a slider that flashes above average and developing change. Looked great in his pro debut with a pitching line of 1.26/0.91/41/5 in 28.2 IP in rookie ball. May end up a high strikeout reliever.,2023,,,,,,,,,,,,,,,,,,,,,9,3.86,1.29,156,0,144
804,Brian Goodwin,LAA,AL, OF,Batter,29.5,Received the most at-bats of his career (413 at-bats) and capitalized on it with a .262 BA; 17 homers; and 7 steals. 28.3% K% provides a very low batting average floor.,,59,14,55,0.248,0.321,0.434,6,,,,,,,,,,,,,,,,,,,
805,Delino DeShields,CLE,AL, OF,Batter,27.8,Likely in a short side of a platoon role. DeShields is one of the fastest players in baseball with a strong stolen base track record; but the average and power will both be low.,,46,4,29,0.238,0.318,0.342,21,,,,,,,,,,,,,,,,,,,
806,Greg Allen,CLE,AL, OF,Batter,27.1,Stolen bases are his best asset but he only attempted 10 steals in 2019. Should be in Clevelands OF rotation.,,35,5,31,0.252,0.314,0.377,14,,,,,,,,,,,,,,,,,,,
807,Lewis Thorpe,MIN,NL, LHP,Pitcher,24.4,Doesnt have overpowering stuff but has put up good strikeout numbers throughout his minor league career and is knocking on the door of the bigs.,,,,,,,,,4,4.5,1.34,73,0,75,,,,,,,,10,4.06,1.29,165,0,165
808,Chris Rodriguez,LAA,AL, RHP,Pitcher,21.8,Stress reaction in his back which required surgery in May knocked out all of his 2018 and all but 9.1 innings in 2019. He looked good in those 9.1 innings; though; with a mid 90s 4 seamer and 2 seamer; a plus slider and plus change.,2021,,,,,,,,,,,,,,,,,,,,,9,3.89,1.27,152,0,145
809,Eric Pardinho,TOR,AL, RHP,Pitcher,19.3,Advanced feel to pitch with a low 90s fastball and 4 pitch mix. Elbow soreness limited him to only 37.2 IP in 2019.Update:Underwent Tommy John surgery and will miss all of 2020.,2022,,,,,,,,,,,,,,,,,,,,,12,3.72,1.25,166,0,173
810,Billy Hamilton,SF,NL, OF,Batter,29.7,Sprint speed and home plate to first both took a small step back. A steals only guy entering his 30s is not the best investment.,,38,3,23,0.235,0.298,0.324,19,,,,,,,,,,,,,,,,,,,
811,Edwin Rios,LAD,NL, 1B,Batter,25.11,Went ham in his 47 at-bat MLB debut with a 95 MPH average exit velocity; 101.7 MPH FB/LD exit velocity; and 4 homers. With a 37.5% K% (34.5% K% at Triple-A) and considering LAs depth; Rios ascending to anything more than a part time player seems unlikely.,,18,7,24,0.229,0.287,0.428,1,,,,,,,43,17,59,0.237,0.296,0.44,2,,,,,,
812,Devin Mann,LAD,NL, 2B/3B,Batter,23.2,Showed plus power (19 homers with a 45.1% FB%) and a solid plate approach (21.9% K%/10.6% BB%) in 98 games at High-A. He was old for the level; but there is a lot to like in Manns offensive profile.,2021,,,,,,,,,,,,,,52,18,59,0.254,0.328,0.443,4,,,,,,
813,Chase Strumpf,CHC,NL, 2B,Batter,22.1,Selected 64th overall; Strumpf has solid tools across the board but nothing standout.,2022,,,,,,,,,,,,,,79,21,77,0.268,0.339,0.442,5,,,,,,
814,Johan Rojas,PHI,NL, OF,Batter,19.8,Strong stateside debut; slashing .311/.393/.527 in the Gulf Coast League before inevitably struggling against more advanced competition in Short-A. Plus speed with a potentially above average hit tool and developing power.,2023,,,,,,,,,,,,,,76,16,68,0.267,0.337,0.428,18,,,,,,
815,Jeisson Rosario,SD,NL, OF,Batter,20.6,Didnt take a step forward at High-A; but didnt necessarily take a step back either; displaying an advanced plate approach (21.7%/16/6% K%/BB%) with some speed (11 steals).,2022,,,,,,,,,,,,,,81,12,63,0.273,0.359,0.405,17,,,,,,
816,Gilberto Celestino,MIN,NL, OF,Batter,21.2,Plus contact/speed profile with a 90 MPH average exit velocity.,2022,,,,,,,,,,,,,,79,14,65,0.273,0.332,0.408,15,,,,,,
817,Nick Schnell,TB,AL, OF,Batter,20,Hit tool concerns are now magnified with a 36% K% in rookie ball and 40% K% at High-A; but the power/speed combo shined through with 5 homers and 5 steals in 55 games.,2023,,,,,,,,,,,,,,79,20,77,0.254,0.332,0.451,14,,,,,,
818,Mickey Moniak,PHI,NL, OF,Batter,21.11,Power took a step forward with a career high 11 homers in 119 games at Double-A; but unless the hit tool starts to resemble the hype that made him the #1 overall pick in 2016; he may top out as a 4th outfielder.,2021,,,,,,,,,,,,,,74,15,66,0.275,0.326,0.418,14,,,,,,
819,Luis Garcia,PHI,NL, SS,Batter,19.6,Disaster full season debut; slashing .186/.261/.255 with 4 homers; 9 steals; and a 132/44 K/BB in 127 games. As the numbers show; he made tons of weak contact. He will only get stronger; but its not a great starting point.,2023,,,,,,,,,,,,,,77,17,71,0.27,0.332,0.418,10,,,,,,
820,Touki Toussaint,ATL,NL, RHP,Pitcher,23.9,Performance at Triple-A and the majors both took a step back; and a rotation spot will be hard to come by considering Atlantas depth; but he has nasty stuff and is too young to give up on.,,,,,,,,,2,4.32,1.4,56,0,50,,,,,,,,4,3.56,1.21,78,0,65
821,Cal Quantrill,SD,NL, RHP,Pitcher,25.2,94.8 MPH fastball looked good in MLB debut; but secondaries lagged behind and he got hit up for a 5.16 ERA and 7.8 K/9 in 103 IP.2020 Projection;3/4.52/1.38/54 in 60 IP,,,,,,,,,9,4.27,1.34,141,0,158,,,,,,,,,,,,,
822,Dane Dunning,CHW,AL, RHP,Pitcher,25.4,Underwent Tommy John surgery in March 2019; likely delaying his MLB debut until the second half of 2020. When healthy; he displays a plus sinker/slider combo and has mid rotation potential.,,,,,,,,,2,4.48,1.36,34,0,36,,,,,,,,10,3.91,1.26,172,0,174
823,Kendall Williams,TOR,AL, RHP,Pitcher,19.7,Drafted 52nd overall; Williams is a projectable 66ù; 205 pounds with a 5 pitch mix and strike throwing ability. He struck out 19 batters in 16 IP in his pro debut.,2024,,,,,,,,,,,,,,,,,,,,,13,3.9,1.27,175,0,175
824,Steven Brault,PIT,NL, LHP,Pitcher,27.11,Throws a 6 pitch mix with a cutter being the only quality one.Update:Shut down from throwing with a left shoulder strain.,,,,,,,,,6,4.61,1.48,100,0,120,,,,,,,,,,,,,
825,Aaron Ashby,MIL,NL, LHP,Pitcher,21.1,First full season of pro ball was a smashing success with a pitching line of 3.50/1.28/135/60 in 126 IP split between Full-A and High-A. Double plus curveball is the money pitch.,2022,,,,,,,,,,,,,,,,,,,,,11,3.95,1.34,169,0,165
826,Alex Young,ARI,NL, LHP,Pitcher,26.7,Pitched well in his MLB debut with a pitching line of 3.56/1.19/71/27 in 83.1 IP. Junkballer type with an 89.9 MPH fastball and an evenly distributed 5 pitch mix.,,,,,,,,,4,4.45,1.38,57,0,64,,,,,,,,9,4.21,1.33,143,0,162
827,Thad Ward,BOS,AL, RHP,Pitcher,23.2,Velocity ticked up and developed a plus cutter en route to a dominant season in Full-A and High-A. Throws a 5 pitch mix with mid rotation upside.,2021,,,,,,,,,,,,,,,,,,,,,11,4.02,1.31,174,0,176
828,Joey Cantillo,SD,NL, LHP,Pitcher,20.3,Impressed at Full-A with a pitching line of 1.93/0.87/128/27 in 98 IP. Cantillo is 64ù; 220 pounds with a deceptive low 90s fastball and an advanced feel to pitch,2023,,,,,,,,,,,,,,,,,,,,,11,3.93,1.29,169,0,173
829,Jhonkensy Noel,CLE,AL, 1B/3B,Batter,18.9,Power hitting beast who has been one of the youngest players in his league the past two years. Cranked 10 homers in 64 games in the Dominican Summer League in 2018 and then hit 6 homers with a 18.7% K% in 47 games in stateside rookie ball in 2019.,2024,,,,,,,,,,,,,,71,23,79,0.253,0.328,0.472,2,,,,,,
830,Anthony Volpe,NYY,AL, SS,Batter,18.11,Solid tools across the board. Potentially plus defense at SS was a major reason he was selected 30th overall in the 2019 draft.,2023,,,,,,,,,,,,,,78,17,71,0.271,0.335,0.422,18,,,,,,
831,Tyler Ivey,HOU,AL, RHP,Pitcher,23.11,Had no issues in Double-A with a pitching line of 1.57/0.96/61/16 in 46 IP. Throws a 4 pitch mix headlined by a plus fastball/curveball combo.,SEPT,,,,,,,,1,4.51,1.38,11,0,10,,,,,,,,7,3.82,1.27,118,0,110
832,Sean Hjelle,SF,NL, RHP,Pitcher,22.11,At 611ù; 215 pounds; Hjelle throws a low 90s fastball with an average curve and change.,2021,,,,,,,,,,,,,,,,,,,,,10,4.08,1.31,161,0,173
833,Buster Posey,SF,NL, C,Batter,33,Strikeout rate jumped to 16% and batting average dropped to .257. I think it is safe to say we are officially in the decline phase; although I wouldnt be surprised to see a mini bounce back.,,52,10,51,0.271,0.34,0.403,1,,,,,,,,,,,,,,,,,,,
834,Wil Crowe,WAS,NL, RHP,Pitcher,25.7,4 pitch mix headlined by an elite spin rate fastball and above average changeup. A rotation spot wont be handed to him; so hell have to capitalize when the opportunity knocks.,,,,,,,,,2,4.58,1.35,26,0,30,,,,,,,,7,4.21,1.31,99,0,110
835,David Peterson,NYM,NL, LHP,Pitcher,24.7,Groundball pitcher with a plus slider and low 90s fastball.,,,,,,,,,3,4.48,1.36,46,0,50,,,,,,,,10,4.12,1.32,171,0,179
836,Tim Cate,WAS,NL, LHP,Pitcher,22.6,Double plus curveball but fastball and changeup both lag behind. One or both will have to get better to become an impact starter.,2021,,,,,,,,,,,,,,,,,,,,,9,4.02,1.28,141,0,145
837,Seranthony Dominguez,PHI,NL, SU,Reliever,25.4,Small UCL tear in June limited Dominguez to 24.2 IP. He didnt need Tommy John surgery and should be ready for Spring Training. He throws a 4 pitch mix (fastball; sinker; change; slider) and he throws all of them over 90 MPH (97.7 MPH fastball).,,,,,,,,,3,3.51,1.2,66,0,55,,,,,,,,,,,,,
838, Andry Lara,WAS,NL, RHP,Pitcher,17.3,Signed for $1.25 million; Lara has a fastball that can reach 95 MPH with an advanced feel for pitching and a potentially plus breaking ball.,2024,,,,,,,,,,,,,,,,,,,,,12,3.84,1.25,178,0,174
839, Robert Dominguez,NYM,NL, RHP,Pitcher,18.4,Signed for $10;000; Dominguez has a huge fastball that has reached 99 MPH with a good feel for spin and a developing changeup.,2024,,,,,,,,,,,,,,,,,,,,,10,3.91,1.33,168,0,160
840,Will Harris,WAS,NL, SU,Reliever,35.7,Plus cutter/curve combo. Likely behind both Doolittle andDaniel Hudsonfor save opportunities.,,,,,,,,,4,3.26,1.06,69,0,65,,,,,,,,,,,,,
841,Chad Green,NYY,AL, SU,Reliever,28.1,4.17 ERA but a 3.34 FIP and 98/19 K/BB in 69 IP shows some of that was bad luck.,,,,,,,,,4,3.31,1.1,93,0,67,,,,,,,,,,,,,
842,Gabriel Moreno,TOR,AL, C,Batter,20.2,Elite contact rates (11.1%) with developing power (12 homers in 82 games at Full-A) but isnt a lock to stick behind the plate.,2023,,,,,,,,,,,,,,52,18,59,0.273,0.325,0.426,2,,,,,,
843,Jack Herman,PIT,NL, OF,Batter,20.6,Hit tool didnt look as good in 2019 at Full-A as it did in his pro debut in rookie ball (14.2% K% vs. 29.3% K%); but the game power broke out with 13 homers in 75 games.,2023,,,,,,,,,,,,,,73,21,78,0.252,0.334,0.444,5,,,,,,
844,Ji-Hwan Bae,PIT,NL, 2B/SS,Batter,20.8,Prototypical lead off hitter with double plus speed and little power.,2022,,,,,,,,,,,,,,78,8,53,0.276,0.343,0.389,26,,,,,,
845,Sammy Siani,PIT,NL, OF,Batter,19.4,Drafted 37th overall; Siani has plus speed with a good feel to hit and an uppercut swing that portends more power coming in the future.,2024,,,,,,,,,,,,,,78,18,74,0.265,0.337,0.413,18,,,,,,
846,Victor Victor Mesa,MIA,NL, OF,Batter,23.8,Strong contact rates and speed translated to stateside ball at High-A and Double-A; but it came with a very low walk rate and absolutely zero power. Some of the lackluster numbers can be attributed to shaking the rust off after a long hiatus; but Mesa was clearly over-hyped.,2021,,,,,,,,,,,,,,78,13,62,0.268,0.316,0.402,18,,,,,,
847,Wander Javier,MIN,NL, SS,Batter,21.3,Returned from torn labrum surgery and struggled in his full season debut; slashing .177/.278/.323 with 11 homers; 2 steals; and a 116/35 K/BB in 80 games. He was a bit better in the 2nd half (.738 OPS and 9 homers in final 43 games); and you can write some it off to rust; but the hit tool and plate approach clearly need a lot of work.,2023,,,,,,,,,,,,,,77,22,79,0.262,0.329,0.441,9,,,,,,
848,Tirso Ornelas,SD,NL, OF,Batter,20.1,Disastrous season; slashing .217/.303/.279 with 1 homer; 7 steals; and a 113/53 K/BB in 110 games at mostly High-A. Had a .506 OPS in 21 games in rookie ball; so the down year is hard to write off as being young for his level.,2022,,,,,,,,,,,,,,71,22,81,0.262,0.343,0.449,6,,,,,,
849,Jhon Torres,STL,NL, OF,Batter,20,Terrible full season debut with a .167 BA; 38.7% K% and 0 homers in 21 games. He was better in his demotion to the Appy League (.918 OPS); but the strikeout rate remained high at 27.1%. Huge raw power is his carrying tool.,2023,,,,,,,,,,,,,,73,24,80,0.251,0.337,0.461,3,,,,,,
850,Angel Martinez,CLE,AL, SS,Batter,18.2,Lived up to his advanced plate approach scouting report in his pro debut in the Dominican Summer League; slashing .306/.402/.428 with 1 homer; 11 steals; and a 29/29 K/BB in 56 games.,2024,,,,,,,,,,,,,,77,20,74,0.274,0.351,0.432,11,,,,,,
851,Jeremy De La Rosa,WAS,NL, OF,Batter,18.2,Advanced enough to go straight to stateside ball as a 17 year old and was able to hold his own; slashing .232/.343/.366 with 2 homers; 3 steals; and a 29/12 K/BB in 26 games. Has potential for average to above average tools across the board.,2024,,,,,,,,,,,,,,76,21,79,0.26,0.33,0.44,8,,,,,,
852,Davis Wendzel,TEX,AL, 3B,Batter,22.1,Drafted 41st overall; Wendzel doesnt have huge power or speed; but hes a solid overall hitter whose plus defense could get him everyday at-bats.,2022,,,,,,,,,,,,,,76,20,79,0.27,0.343,0.446,5,,,,,,
853,Michael Harris,ATL,NL, OF,Batter,19.1,Drafted 98th overall; Harris stock took a big jump with his beastly pro debut in rookie ball; slashing .349/.403/.514 with 2 homers; 5 steals and a 20/9 K/BB in 31 games. He has a plus power/speed combo and his hit tool concerns arent as loud as they were pre draft.,2023,,,,,,,,,,,,,,79,21,75,0.258,0.326,0.434,16,,,,,,
854,Tyler Nevin,COL,NL, 1B,Batter,22.1,Career high 39.8% FB% and 12% BB% while continuing to make good contact at Double-A (16.7% K%). The homer power is still only moderate (13 homers in 130 games) which could make it hard to find a starting 1B job.,2021,,,,,,,,,,,,,,66,19,74,0.272,0.345,0.457,5,,,,,,
855,Nasim Nunez,MIA,NL, SS,Batter,19.7,Drafted 46th overall; Nunez has plus speed with a good feel to hit; but has a very low 84 MPH average exit velocity. Plus glove and stole 28 bases in 51 games in his pro debut; so he may end up as a steals only guy.,2023,,,,,,,,,,,,,,80,10,51,0.271,0.339,0.394,25,,,,,,
856,Nick Quintana,DET,AL, 3B,Batter,22.6,Drafted 47th overall; Quintana had an awful pro debut with .158/.228/.226 triple-slash in 41 games at Full-A. He projects to be an above average defender with above average power; but the hit tool is a major risk.,2022,,,,,,,,,,,,,,68,22,74,0.241,0.31,0.438,2,,,,,,
857,Bryant Packard,DET,AL, OF,Batter,22.6,Drafted 142nd overall; Packards power took a step back in 2019; but displayed a good feel to hit and advanced plate approach in both college and full season pro ball. He has no defensive value; so playing time will be another hurdle.,2023,,,,,,,,,,,,,,67,19,75,0.263,0.344,0.438,3,,,,,,
858,Jeferson Espinal,ARI,NL, OF,Batter,17.1,Excellent athlete with plus speed. Currently more of a slap hitter with high groundball rates; but hes so young its hard to put a cap on his possible development paths.,2025,,,,,,,,,,,,,,77,16,74,0.267,0.339,0.413,18,,,,,,
859,Ricky Vanasco,TEX,AL, RHP,Pitcher,21.6,Pitching line of 1.81/1.07/75/25 in 49.2 IP split between Short-A and Full-A. Mid 90s heat with a curve and change that both took a step forward in 2019.,2023,,,,,,,,,,,,,,,,,,,,,9,3.86,1.34,156,0,147
860, Ronny Polanco,ARI,NL, SS,Batter,16.7,Signed for $600;00; Polanco has a quick bat with plus power; average speed and a history of performing well in international tournaments.,2026,,,,,,,,,,,,,,74,23,83,0.272,0.336,0.473,8,,,,,,
861, Kevin Made,CHC,NL, SS,Batter,17.7,Signed for $1.5 million; Made has plus bat speed with high contact rates and the potential for plus power.,2025,,,,,,,,,,,,,,73,23,81,0.278,0.347,0.455,8,,,,,,
862,Jack Kochanowicz,LAA,AL, RHP,Pitcher,19.3,Drafted 92nd overall; the 66ù; 220 pound Kochanowicz has a potentially plus fastball/curve combo with a developing change.,2024,,,,,,,,,,,,,,,,,,,,,12,3.89,1.26,174,0,176
863,Luis Medina,MIL,NL, OF,Batter,17.1,Signed for $1.3 million; Medina has a smooth lefty swing that generates easy plus power; but is still very raw.,2026,,,,,,,,,,,,,,65,23,72,0.248,0.326,0.462,5,,,,,,
864, Jimmy Lewis,LAD,NL, RHP,Pitcher,19.5,Drafted 78th overall; Lewis is 66ù; 200 pounds with a low 90s fastball that should tick up; a potentially plus curve and average change.,2024,,,,,,,,,,,,,,,,,,,,,10,4.04,1.28,146,0,151
865,Brandon Williamson,SEA,AL, LHP,Pitcher,22,Drafted 59th overall; Williamson has the chance for 4 quality pitches headlined by a plus fastball/curve combo.,2022,,,,,,,,,,,,,,,,,,,,,10,4.02,1.34,159,0,162
866,Kurt Suzuki,WAS,NL, C,Batter,36.6,Below average exit velocities; but he hits it in the air with a 18.9 degree launch angle and makes elite contact with a 11.7% K%.,,44,18,56,0.265,0.328,0.46,0,,,,,,,,,,,,,,,,,,,
867,Corey Ray,MIL,NL, OF,Batter,25.6,Hand and finger injuries tanked Rays 2019 season; putting up a meager 38 wRC+ in 53 games at Triple-A. Hes still tooled up with a plus power/speed combo; but the strikeout rate and now a lost season has Rays stock slipping.,2021,,,,,,,,,,,,,,61,16,58,0.231,0.313,0.28,15,,,,,,
868,Anthony Alford,TOR,AL, OF,Batter,25.8,Alford came on at Triple-A after a rough April; slashing .304/.388/.485 with 6 homers; 18 steals and a 64/27 K/BB in final 60 games. It hasnt always been a smooth ride; but he has maintained his athleticism and power/speed combo; keeping him in the conversation for a late career breakout.,,28,4,26,0.234,0.303,0.392,4,,,,,,,72,15,69,0.257,0.328,0.426,15,,,,,,
869,Andrew Knizner,STL,NL, C,Batter,25.2,Currently 3rd on the depth chart but is the favorite to be the catcher of the future whenever Molina decides to hang em up. Good feel to hit with average power.,,18,6,16,0.257,0.32,0.409,0,,,,,,,64,18,71,0.271,0.339,0.429,2,,,,,,
870,Garrett Stubbs,HOU,AL, C,Batter,26.1,Down year at Triple-A but the underlying skills remained the same. Houstons catcher job is wide open right now.,,33,5,29,0.244,0.312,0.387,4,,,,,,,58,13,49,0.265,0.337,0.403,8,,,,,,
871,Kyren Paris,LAA,AL, SS,Batter,18.5,Drafted 55th overall; Paris has plus speed with a patient plate approach and developing power.,2024,,,,,,,,,,,,,,79,16,73,0.267,0.343,0.41,18,,,,,,
872, George Feliz,SEA,AL, OF,Batter,17,Signed for $900;000; Feliz is a good athlete with plus bat speed; giving him the chance to develop into an all category contributor.,2025,,,,,,,,,,,,,,83,20,78,0.27,0.33,0.44,14,,,,,,
873, Aeverson Arteaga,SF,NL, SS,Batter,17.1,Plus athlete at a projectable 61ù; 170 pounds with a good feel to hit and plus speed.,2025,,,,,,,,,,,,,,77,18,73,0.265,0.328,0.427,16,,,,,,
874,Gio Gonzalez,CHW,AL, LHP,Pitcher,34.7,Pitched well for Milwaukee with a 3.50 ERA; 1.29 WHIP and 8 K/9 in 87.1 IP. I still wouldnt count on anything more than back end starter production.,,,,,,,,,7,4.52,1.39,112,0,130,,,,,,,,,,,,,
875,Matt Shoemaker,TOR,AL, RHP,Pitcher,33.6,Torn ACL ended his season after putting up a 1.57 ERA in only 5 starts. Pitched over 136 innings only once in his career; but hes proven to be a solid #4 type starter when healthy.,,,,,,,,,7,4.23,1.29,110,0,125,,,,,,,,,,,,,
876,Chase Anderson,TOR,AL, RHP,Pitcher,32.4,Has induced below average exit velocity throughout his career and consistently outperformed his FIP. Has never pitched more than 158 innings in his career.,,,,,,,,,9,4.45,1.33,137,0,150,,,,,,,,,,,,,
877,Brett Anderson,MIL,NL, LHP,Pitcher,32.2,Stayed healthy and threw 176 innings with a 3.89 ERA and 4.6 K/9. Hell be a decent spot starter option throughout the year for your fantasy team.,,,,,,,,,10,4.35,1.34,97,0,150,,,,,,,,,,,,,
878,Randy Dobnak,MIN,NL, RHP,Pitcher,25.2,Groundball pitcher with a low strikeout rate. Throws a 4 pitch mix headlined by a curveball that put up a .236 xwOBA.,,,,,,,,,6,4.41,1.34,86,0,110,,,,,,,,,,,,,
879, Kwang-hyun Kim,STL,NL, LHP,Pitcher,31.9,Throws a 4 pitch mix with a low 90s fastball and plus slider. Ultimate role is still undecided.,,,,,,,,,6,4.26,1.35,99,0,110,,,,,,,,,,,,,
880,Jay Bruce,PHI,NL, OF,Batter,33,Bench bat as long asBryce HarperandAndrew McCutchenremain healthy.,,42,17,55,0.239,0.295,0.467,1,,,,,,,,,,,,,,,,,,,
881,Jed Lowrie,NYM,NL, 2B,Batter,35.11,Missed almost the entire season with a knee and calf injury. Likely headed for a bench role.,,42,10,45,0.263,0.345,0.428,0,,,,,,,,,,,,,,,,,,,
882,Roansy Contreras,NYY,AL, RHP,Pitcher,20.5,3 pitch mix with a low 90s fastball and an advanced feel to pitch. Mid-rotation upside.,2022,,,,,,,,,,,,,,,,,,,,,10,4.09,1.3,158,0,166
883,Ryan Jensen,CHC,NL, RHP,Pitcher,22.4,Drafted 27th overall; Jensen throws both his 4 seamer and 2 seamer at 96 MPH with a potentially above average slider and developing changeup. He doesnt have a long history as a starter and has some reliever risk.,2022,,,,,,,,,,,,,,,,,,,,,7,3.91,1.33,120,0,115
884,Blake Treinen,LAD,NL, SU,Reliever,31.9,Worth a flier for the bounce back potential as he was still throwing very hard in 2019 (97.2 MPH).,,,,,,,,,4,3.62,1.23,73,0,65,,,,,,,,,,,,,
885,Shun Yamaguchi,TOR,AL, RHP,Pitcher,32.9,Jack of all trades pitcher with a low 90s fastball and plus splitter that racked up strikeouts in Japan..,,,,,,,,,6,3.92,1.33,87,0,83,,,,,,,,,,,,,
886,Kevin Ginkel,ARI,NL, SU,Reliever,26,Plus fastball/slider combo piled up strikeouts throughout his minor league career and remained effective in his major league debut with a pitching line of 1.48/0.97/28/9 in 24.1 IP.,,,,,,,,,4,3.65,1.14,69,0,60,,,,,,,,,,,,,
887,John Brebbia,STL,NL, SU,Reliever,29.1,Fastball velocity down 1.4 MPH; but slider took a huge step forward with a .227 xwOBA.,,,,,,,,,3,3.44,1.19,77,0,65,,,,,,,,,,,,,
